Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
369332,WHOSIS_000001,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2006,,,,,,,73.5 [73.3-73.9],73.50341,73.2628,73.88047,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
370894,WHOSIS_000001,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,SEX,SEX_MLE,2001,,,,,,,74.8 [74.8-74.9],74.78328,74.76917,74.87228,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
371664,WHOSIS_000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2003,,,,,,,77.6 [77.5-77.7],77.57506,77.50348,77.71507,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
371998,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,SEX_BTSX,2016,,,,,,,77.9 [77.7-78.2],77.87871,77.67392,78.20786,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
372632,WHOSIS_000001,COUNTRY,BWA,YEAR,AFR,Africa,SEX,SEX_FMLE,2018,,,,,,,66.6 [65.4-68.1],66.60114,65.35139,68.10144,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
373076,WHOSIS_000001,COUNTRY,SLV,YEAR,AMR,Americas,SEX,SEX_BTSX,2010,,,,,,,74.6 [74.4-74.8],74.5633,74.38149,74.78968,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
373665,WHOSIS_000001,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2006,,,,,,,47.6 [46.4-49.3],47.64724,46.41051,49.3099,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
374840,WHOSIS_000001,COUNTRY,AZE,YEAR,EUR,Europe,SEX,SEX_MLE,2015,,,,,,,71.7 [71.3-72.1],71.67624,71.34548,72.09325,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
375269,WHOSIS_000001,REGION,AFR,YEAR,,,SEX,SEX_BTSX,2017,,,,,,,63.4 [62.5-64.3],63.36221,62.54316,64.33928,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
375975,WHOSIS_000001,COUNTRY,GAB,YEAR,AFR,Africa,SEX,SEX_MLE,2011,,,,,,,60.4 [59.6-61.1],60.36001,59.59123,61.12443,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
377502,WHOSIS_000001,COUNTRY,SLE,YEAR,AFR,Africa,SEX,SEX_FMLE,2013,,,,,,,57.9 [57.0-58.9],57.88167,56.97924,58.90593,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
379249,WHOSIS_000001,REGION,AMR,YEAR,,,SEX,SEX_FMLE,2008,,,,,,,78.7 [78.6-78.9],78.69614,78.55835,78.88791,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
381563,WHOSIS_000001,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2021,,,,,,,74.7 [74.6-74.9],74.71078,74.57437,74.94397,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
382175,WHOSIS_000001,COUNTRY,SSD,YEAR,AFR,Africa,SEX,SEX_BTSX,2003,,,,,,,54.4 [53.2-55.5],54.40318,53.22749,55.4832,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
