SpatialDim,TimeDim,Obesity,Undernourishment
IND,2002,1.3,32.7
IND,2002,1.3,31.1
IND,2002,1.3,31.9
KEN,1997,3.5,11.4
KEN,1997,3.5,19.2
KEN,1997,3.5,15.2
KEN,1992,1.4,20.3
KEN,1992,1.4,15.9
KEN,1992,1.4,11.7
KEN,2002,2.4,11.0
KEN,2002,2.4,18.0
KEN,2002,2.4,14.5
USA,2013,38.3,2.2
USA,2013,38.3,1.6
USA,2013,38.3,1.0
GBR,2017,26.6,1.5
GBR,2017,26.6,1.7
GBR,2017,26.6,1.3
USA,2012,37.8,1.0
USA,2012,37.8,2.2
USA,2012,37.8,1.6
LKA,2004,4.6,26.4
LKA,2004,4.6,24.2
LKA,2004,4.6,22.1
LKA,2011,5.4,21.3
LKA,2011,5.4,17.0
LKA,2011,5.4,19.1
USA,2011,36.4,1.0
USA,2011,36.4,1.6
USA,2011,36.4,2.2
GBR,2021,26.6,1.7
GBR,2021,26.6,1.7
GBR,2021,26.6,1.6
USA,2009,34.4,2.2
USA,2009,34.4,1.0
USA,2009,34.4,1.6
USA,1990,16.4,1.2
USA,1990,16.4,2.3
USA,1990,16.4,3.3
IND,2004,2.4,31.0
IND,2004,2.4,30.2
IND,2004,2.4,29.4
USA,2005,31.2,2.2
USA,2005,31.2,1.0
USA,2005,31.2,1.6
USA,1998,27.3,2.4
USA,1998,27.3,1.0
USA,1998,27.3,1.7
KEN,2012,12.2,15.8
KEN,2012,12.2,12.6
KEN,2012,12.2,9.5
IND,1999,1.7,33.5
IND,1999,1.7,35.2
IND,1999,1.7,34.3
KEN,1996,3.2,11.5
KEN,1996,3.2,19.4
KEN,1996,3.2,15.4
LKA,1995,2.4,30.7
LKA,1995,2.4,32.3
LKA,1995,2.4,29.1
IND,2020,4.6,16.3
IND,2020,4.6,15.5
IND,2020,4.6,14.7
IND,2001,2.0,32.7
IND,2001,2.0,31.9
IND,2001,2.0,33.6
KEN,2001,2.3,11.1
KEN,2001,2.3,14.6
KEN,2001,2.3,18.3
IND,2000,2.5,33.5
IND,2000,2.5,32.7
IND,2000,2.5,34.4
KEN,2017,10.1,8.8
KEN,2017,10.1,15.3
KEN,2017,10.1,12.0
LKA,2006,2.2,22.7
LKA,2006,2.2,25.0
LKA,2006,2.2,20.6
USA,2017,39.5,1.2
USA,2017,39.5,1.6
USA,2017,39.5,2.1
GBR,2006,23.5,1.4
GBR,2006,23.5,1.0
GBR,2006,23.5,1.8
KEN,2013,4.0,15.6
KEN,2013,4.0,9.3
KEN,2013,4.0,12.4
IND,1997,1.4,36.7
IND,1997,1.4,35.8
IND,1997,1.4,35.0
GBR,2008,22.9,1.0
GBR,2008,22.9,1.8
